dataset_name,dataset_role,check_group,split,item,path,expected_type,exists,status
dataset1_varroa,model_development_internal,dataset_root,,dataset1_varroa,data/raw/dataset1_varroa,directory,True,OK
dataset1_varroa,model_development_internal,split_folder,train,train,data/raw/dataset1_varroa/train,directory,True,OK
dataset1_varroa,model_development_internal,split_subfolder,train,images,data/raw/dataset1_varroa/train/images,directory,True,OK
dataset1_varroa,model_development_internal,split_subfolder,train,labels,data/raw/dataset1_varroa/train/labels,directory,True,OK
dataset1_varroa,model_development_internal,split_folder,valid,valid,data/raw/dataset1_varroa/valid,directory,True,OK
dataset1_varroa,model_development_internal,split_subfolder,valid,images,data/raw/dataset1_varroa/valid/images,directory,True,OK
dataset1_varroa,model_development_internal,split_subfolder,valid,labels,data/raw/dataset1_varroa/valid/labels,directory,True,OK
dataset1_varroa,model_development_internal,split_folder,test,test,data/raw/dataset1_varroa/test,directory,True,OK
dataset1_varroa,model_development_internal,split_subfolder,test,images,data/raw/dataset1_varroa/test/images,directory,True,OK
dataset1_varroa,model_development_internal,split_subfolder,test,labels,data/raw/dataset1_varroa/test/labels,directory,True,OK
dataset1_varroa,model_development_internal,dataset_level_file,,data.yaml,data/raw/dataset1_varroa/data.yaml,file,True,OK
dataset1_varroa,model_development_internal,dataset_level_file,,README.dataset.txt,data/raw/dataset1_varroa/README.dataset.txt,file,True,OK
dataset1_varroa,model_development_internal,dataset_level_file,,README.roboflow.txt,data/raw/dataset1_varroa/README.roboflow.txt,file,True,OK
dataset2_honeybee,model_development_internal,dataset_root,,dataset2_honeybee,data/raw/dataset2_honeybee,directory,True,OK
dataset2_honeybee,model_development_internal,split_folder,train,train,data/raw/dataset2_honeybee/train,directory,True,OK
dataset2_honeybee,model_development_internal,split_subfolder,train,images,data/raw/dataset2_honeybee/train/images,directory,True,OK
dataset2_honeybee,model_development_internal,split_subfolder,train,labels,data/raw/dataset2_honeybee/train/labels,directory,True,OK
dataset2_honeybee,model_development_internal,split_folder,valid,valid,data/raw/dataset2_honeybee/valid,directory,True,OK
dataset2_honeybee,model_development_internal,split_subfolder,valid,images,data/raw/dataset2_honeybee/valid/images,directory,True,OK
dataset2_honeybee,model_development_internal,split_subfolder,valid,labels,data/raw/dataset2_honeybee/valid/labels,directory,True,OK
dataset2_honeybee,model_development_internal,split_folder,test,test,data/raw/dataset2_honeybee/test,directory,True,OK
dataset2_honeybee,model_development_internal,split_subfolder,test,images,data/raw/dataset2_honeybee/test/images,directory,True,OK
dataset2_honeybee,model_development_internal,split_subfolder,test,labels,data/raw/dataset2_honeybee/test/labels,directory,True,OK
dataset2_honeybee,model_development_internal,dataset_level_file,,data.yaml,data/raw/dataset2_honeybee/data.yaml,file,True,OK
dataset2_honeybee,model_development_internal,dataset_level_file,,README.dataset.txt,data/raw/dataset2_honeybee/README.dataset.txt,file,True,OK
dataset2_honeybee,model_development_internal,dataset_level_file,,README.roboflow.txt,data/raw/dataset2_honeybee/README.roboflow.txt,file,True,OK
dataset3_external,external_validation_only,dataset_root,,dataset3_external,data/raw/dataset3_external,directory,True,OK
dataset3_external,external_validation_only,split_folder,train,train,data/raw/dataset3_external/train,directory,True,OK
dataset3_external,external_validation_only,split_subfolder,train,images,data/raw/dataset3_external/train/images,directory,True,OK
dataset3_external,external_validation_only,split_subfolder,train,labels,data/raw/dataset3_external/train/labels,directory,True,OK
dataset3_external,external_validation_only,split_folder,valid,valid,data/raw/dataset3_external/valid,directory,True,OK
dataset3_external,external_validation_only,split_subfolder,valid,images,data/raw/dataset3_external/valid/images,directory,True,OK
dataset3_external,external_validation_only,split_subfolder,valid,labels,data/raw/dataset3_external/valid/labels,directory,True,OK
dataset3_external,external_validation_only,split_folder,test,test,data/raw/dataset3_external/test,directory,True,OK
dataset3_external,external_validation_only,split_subfolder,test,images,data/raw/dataset3_external/test/images,directory,True,OK
dataset3_external,external_validation_only,split_subfolder,test,labels,data/raw/dataset3_external/test/labels,directory,True,OK
dataset3_external,external_validation_only,dataset_level_file,,data.yaml,data/raw/dataset3_external/data.yaml,file,True,OK
dataset3_external,external_validation_only,dataset_level_file,,README.dataset.txt,data/raw/dataset3_external/README.dataset.txt,file,True,OK
dataset3_external,external_validation_only,dataset_level_file,,README.roboflow.txt,data/raw/dataset3_external/README.roboflow.txt,file,True,OK
