dataset_name,patch_set,patch_size,ratio_variant,split,total_rows,positive_count,negative_count,center_negative_count,mixed_negative_count,outer_negative_count,shifted_crop_count,primary_negative_count,fallback_negative_count,duplicate_fallback_count,metadata_path
dataset1_varroa,centered80_balanced,80,balanced,test,2894,1447,1447,483,482,482,166,1447,0,0,data/metadata/dataset1_varroa/patch_metadata_centered80_balanced.csv
dataset1_varroa,centered80_balanced,80,balanced,train,6064,3032,3032,1011,1011,1010,390,3032,0,0,data/metadata/dataset1_varroa/patch_metadata_centered80_balanced.csv
dataset1_varroa,centered80_balanced,80,balanced,valid,1288,644,644,215,215,214,88,644,0,0,data/metadata/dataset1_varroa/patch_metadata_centered80_balanced.csv
dataset1_varroa,centered80_neg4x,80,neg4x,test,7235,1447,5788,1930,1929,1929,691,5788,0,0,data/metadata/dataset1_varroa/patch_metadata_centered80_neg4x.csv
dataset1_varroa,centered80_neg4x,80,neg4x,train,15160,3032,12128,4043,4043,4042,1563,12128,0,0,data/metadata/dataset1_varroa/patch_metadata_centered80_neg4x.csv
dataset1_varroa,centered80_neg4x,80,neg4x,valid,3220,644,2576,859,859,858,336,2576,0,0,data/metadata/dataset1_varroa/patch_metadata_centered80_neg4x.csv
dataset1_varroa,centered96_balanced,96,balanced,test,2894,1447,1447,483,482,482,209,1447,0,0,data/metadata/dataset1_varroa/patch_metadata_centered96_balanced.csv
dataset1_varroa,centered96_balanced,96,balanced,train,6064,3032,3032,1011,1011,1010,452,3032,0,0,data/metadata/dataset1_varroa/patch_metadata_centered96_balanced.csv
dataset1_varroa,centered96_balanced,96,balanced,valid,1288,644,644,215,215,214,112,644,0,0,data/metadata/dataset1_varroa/patch_metadata_centered96_balanced.csv
dataset1_varroa,centered96_neg4x,96,neg4x,test,7235,1447,5788,1930,1929,1929,884,5788,0,0,data/metadata/dataset1_varroa/patch_metadata_centered96_neg4x.csv
dataset1_varroa,centered96_neg4x,96,neg4x,train,15160,3032,12128,4043,4043,4042,1807,12128,0,0,data/metadata/dataset1_varroa/patch_metadata_centered96_neg4x.csv
dataset1_varroa,centered96_neg4x,96,neg4x,valid,3220,644,2576,859,859,858,411,2576,0,0,data/metadata/dataset1_varroa/patch_metadata_centered96_neg4x.csv
dataset1_varroa,centered112_balanced,112,balanced,test,2894,1447,1447,483,482,482,265,1447,0,0,data/metadata/dataset1_varroa/patch_metadata_centered112_balanced.csv
dataset1_varroa,centered112_balanced,112,balanced,train,6064,3032,3032,1011,1011,1010,518,3032,0,0,data/metadata/dataset1_varroa/patch_metadata_centered112_balanced.csv
dataset1_varroa,centered112_balanced,112,balanced,valid,1288,644,644,215,215,214,114,644,0,0,data/metadata/dataset1_varroa/patch_metadata_centered112_balanced.csv
dataset1_varroa,centered112_neg4x,112,neg4x,test,7235,1447,5788,1930,1929,1929,1003,5788,0,0,data/metadata/dataset1_varroa/patch_metadata_centered112_neg4x.csv
dataset1_varroa,centered112_neg4x,112,neg4x,train,15160,3032,12128,4043,4043,4042,2086,12128,0,0,data/metadata/dataset1_varroa/patch_metadata_centered112_neg4x.csv
dataset1_varroa,centered112_neg4x,112,neg4x,valid,3220,644,2576,859,859,858,412,2576,0,0,data/metadata/dataset1_varroa/patch_metadata_centered112_neg4x.csv
