dataset_name,patch_set,patch_size,feature_component,feature_dimension
dataset1_varroa,centered80_balanced,80,hog8,2916
dataset1_varroa,centered80_balanced,80,hog16,576
dataset1_varroa,centered80_balanced,80,hsv,32
dataset1_varroa,centered80_balanced,80,lbp,10
dataset1_varroa,centered80_neg4x,80,hog8,2916
dataset1_varroa,centered80_neg4x,80,hog16,576
dataset1_varroa,centered80_neg4x,80,hsv,32
dataset1_varroa,centered80_neg4x,80,lbp,10
dataset1_varroa,centered96_balanced,96,hog8,4356
dataset1_varroa,centered96_balanced,96,hog16,900
dataset1_varroa,centered96_balanced,96,hsv,32
dataset1_varroa,centered96_balanced,96,lbp,10
dataset1_varroa,centered96_neg4x,96,hog8,4356
dataset1_varroa,centered96_neg4x,96,hog16,900
dataset1_varroa,centered96_neg4x,96,hsv,32
dataset1_varroa,centered96_neg4x,96,lbp,10
dataset1_varroa,centered112_balanced,112,hog8,6084
dataset1_varroa,centered112_balanced,112,hog16,1296
dataset1_varroa,centered112_balanced,112,hsv,32
dataset1_varroa,centered112_balanced,112,lbp,10
dataset1_varroa,centered112_neg4x,112,hog8,6084
dataset1_varroa,centered112_neg4x,112,hog16,1296
dataset1_varroa,centered112_neg4x,112,hsv,32
dataset1_varroa,centered112_neg4x,112,lbp,10
