name,path,item_type,exists
dataset1_varroa_ranked_stage07,./approaches/traditional_ml/outputs/07_classification_final_test/01_dataset1_classification_final_test/tables/ranked_classification_final_test_models.csv,file,True
dataset1_varroa_raw_dataset_dir,data/raw/dataset1_varroa,dir,True
dataset1_varroa_valid_images,data/raw/dataset1_varroa/valid/images,dir,True
dataset1_varroa_valid_labels,data/raw/dataset1_varroa/valid/labels,dir,True
dataset1_varroa_model_pool_dir,outputs/models/selected_classification_model_pool/dataset1_varroa,dir,True
dataset1_varroa_linear_svm_model_dir,outputs/models/selected_classification_model_pool/dataset1_varroa/linear_svm,dir,True
dataset1_varroa_rbf_svm_model_dir,outputs/models/selected_classification_model_pool/dataset1_varroa/rbf_svm,dir,True
dataset1_varroa_random_forest_model_dir,outputs/models/selected_classification_model_pool/dataset1_varroa/random_forest,dir,True
dataset1_varroa_pca_artifacts_dir,data/features/dataset1_varroa/pca_artifacts,dir,True
dataset1_varroa_stage03_feature_dir,data/features/dataset1_varroa,dir,True
dataset2_honeybee_ranked_stage07,./approaches/traditional_ml/outputs/07_classification_final_test/02_dataset2_classification_final_test/tables/ranked_classification_final_test_models.csv,file,True
dataset2_honeybee_raw_dataset_dir,data/raw/dataset2_honeybee,dir,True
dataset2_honeybee_valid_images,data/raw/dataset2_honeybee/valid/images,dir,True
dataset2_honeybee_valid_labels,data/raw/dataset2_honeybee/valid/labels,dir,True
dataset2_honeybee_model_pool_dir,outputs/models/selected_classification_model_pool/dataset2_honeybee,dir,True
dataset2_honeybee_linear_svm_model_dir,outputs/models/selected_classification_model_pool/dataset2_honeybee/linear_svm,dir,True
dataset2_honeybee_rbf_svm_model_dir,outputs/models/selected_classification_model_pool/dataset2_honeybee/rbf_svm,dir,True
dataset2_honeybee_random_forest_model_dir,outputs/models/selected_classification_model_pool/dataset2_honeybee/random_forest,dir,True
dataset2_honeybee_pca_artifacts_dir,data/features/dataset2_honeybee/pca_artifacts,dir,True
dataset2_honeybee_stage03_feature_dir,data/features/dataset2_honeybee,dir,True
